,Num CEAC-L,PY CEAC-L I,PY CEAC-L C,PY CEAC-L T,,Num SEAC-L,PY SEAC-L I,PY SEAC-L C,PY SEAC-L T,,Num CEAC-R,PY CEAC-R I,PY CEAC-R C,PY CEAC-R T,,Num SEAC-R,PY SEAC-R I,PY SEAC-R C,PY SEAC-R T,,Num CEAC-D,PY CEAC-D I,PY CEAC-D C,PY CEAC-D T,,Num SEAC-D,PY SEAC-D I,PY SEAC-D C,PY SEAC-D T,,Num CEAC-U,PY CEAC-U I,PY CEAC-U C,PY CEAC-U T,,Num SEAC-U,PY SEAC-U I,PY SEAC-U C,PY SEAC-U T,,,Num Endosc,Num Init RFA,Num Touchups,Num Lifeyears
2020,0.010331859,0,0.092986734,0.023157369,,1.105508947,1.084845229,28.71223705,2.967145135,,0.051659297,0.024703846,0.113650453,0.030995578,,0.134314171,0.134314171,2.686283424,0.382278795,,0.051659297,0.010331859,0.020663719,0.031420846,,0,0,0.165309749,0.061991156,,0.010331859,0,0.041327437,0,,0,0,0,0,,,44.78861016,0,0,812.2701161
2021,0.227300905,0.134548371,0.092986734,0.002586742,,0.619911559,0.56639626,17.80179361,2.493544485,,0.15497789,0.064544614,0.113650453,0.053839647,,0.061991156,0.061991156,1.580774476,0.495929247,,0.103318593,0.041327437,0.020663719,0.048932555,,0.010331859,0.010331859,0.092986734,0.041327437,,0.072323015,0.030995578,0.041327437,0.014554739,,0,0,0,0,,,39.37471587,0,0,785.9445386
2022,0.010331859,0,0.216969046,0.081494531,,20.12646196,18.22947344,14.06166054,3.407814978,,0.030995578,0.015676827,0.14464603,0.051659297,,2.045708146,1.799810389,1.115840807,0.4379404,,0.041327437,0.0008057,0.051659297,0.036270327,,0.258296483,0.239443295,0.061991156,0.045145522,,0.020663719,0.010331859,0.051659297,0.048179163,,0,0,0,0,,,802.5788321,0,0,757.9658635
2023,0.020663719,0,0.14464603,0.02503258,,0.475265529,0.444511971,27.80303343,4.184403025,,0.082654875,0.065411346,0.092986734,0.041327437,,0.051659297,0.051659297,2.345332066,0.599247841,,0.051659297,0,0.030995578,0.034479152,,0.010331859,0.010331859,0.247964624,0.041327437,,0.020663719,0.010426389,0.041327437,0,,0,0,0,0,,,31.29520188,0,0,728.8403521
2024,0.103318593,0.082654875,0.113650453,0.013406255,,0.45460181,0.422454298,16.49997934,2.679319872,,0.165309749,0.072323015,0.113650453,0.057362797,,0.020663719,0.020663719,1.539447039,0.340951358,,0.206637186,0.044095393,0.030995578,0.02767091,,0,0,0.15497789,0.082654875,,0.072323015,0.041537869,0.041327437,0.020663719,,0,0,0,0,,,27.64805554,0,0,696.9459024
2025,0.010331859,0.010331859,0.185973468,0.020663719,,19.66152829,17.54654061,13.10079762,3.678986736,,0.020663719,0.010331859,0.14464603,0.072611036,,2.066371864,1.839871687,0.981526636,0.533050843,,0.051659297,0,0.051659297,0.097301067,,0.258296483,0.221058294,0.123982312,0.048626577,,0.020663719,0,0.082654875,0.035783616,,0,0,0,0,,,708.8791999,0,0,664.5968508
2026,0.041327437,0.01998827,0.072323015,0.027318703,,0.268628342,0.260520784,26.62520147,4.494358805,,0.072323015,0.051659297,0.103318593,0.023430105,,0.020663719,0.020663719,2.407323222,0.485597388,,0.092986734,0.020663719,0.030995578,0.035962846,,0,0,0.258296483,0.092986734,,0.010331859,0.010331859,0.041327437,0.020663719,,0,0,0,0,,,21.46960367,0,0,630.7496797
2027,0.14464603,0.074265804,0.072323015,0.033279,,0.268628342,0.247964624,15.17750134,2.387965671,,0.14464603,0.090087922,0.14464603,0.030751445,,0.020663719,0.020663719,1.353473571,0.444269951,,0.29962392,0.071746905,0.051659297,0.083334008,,0,0,0.15497789,0.051659297,,0.061991156,0.010331859,0.041327437,0.002227384,,0,0,0,0,,,19.15526718,0,0,597.7290573
2028,0.051659297,0.011572369,0.123982312,0.075707347,,18.49402819,16.31051609,12.02628425,3.724108024,,0.051659297,0.016736514,0.15497789,0.078572342,,1.963053271,1.717638292,1.002190354,0.438871571,,0.051659297,0,0.092986734,0.171791358,,0.227300905,0.208529136,0.113650453,0.033535434,,0,0,0.041327437,0.041327437,,0,0,0,0,,,607.595983,0,0,562.0118196
2029,0.030995578,0.030995578,0.082654875,0.051659297,,0.175641608,0.15497789,24.70347564,4.282477833,,0.041327437,0.010331859,0.103318593,0.041327437,,0.010331859,0.010331859,2.180022317,0.6095797,,0.061991156,0.000533648,0.082654875,0.026310735,,0.010331859,0.010331859,0.227300905,0.103318593,,0.010331859,0.010331859,0.010331859,0.010331859,,0,0,0,0,,,15.31181551,0,0,525.2717279
